,variable,accuracy,simulation
318,52,0.35,3
319,53,0.33,3
320,54,0.31,3
321,55,0.19,3
322,56,0.32,3
323,57,0.39,3
324,58,0.24,3
325,59,0.3,3
326,60,0.23,3
327,61,0.35,3
328,62,0.28,3
329,63,0.35,3
330,64,0.37,3
331,65,0.29,3
332,66,0.23,3
333,67,0.21,3
334,68,0.33,3
335,69,0.41,3
336,70,0.34,3
337,71,0.37,3
338,72,0.4,3
339,73,0.35,3
340,74,0.33,3
341,75,0.35,3
342,76,0.16,3
343,77,0.34,3
344,78,0.36,3
345,79,0.39,3
346,80,0.38,3
347,81,0.36,3
348,82,0.37,3
349,83,0.35,3
350,84,0.39,3
351,85,0.2,3
352,86,0.43,3
353,87,0.23,3
354,88,0.45,3
355,89,0.36,3
356,90,0.34,3
357,1,0.25,4
358,2,0.21,4
359,3,0.27,4
360,4,0.19,4
361,5,0.19,4
362,6,0.24,4
363,8,0.23,4
364,10,0.25,4
365,11,0.22,4
366,12,0.29,4
367,13,0.19,4
368,14,0.26,4
369,15,0.19,4
370,16,0.3,4
371,17,0.21,4
372,18,0.23,4
373,19,0.27,4
374,20,0.2,4
375,21,0.21,4
376,22,0.26,4
377,23,0.21,4
378,24,0.26,4
379,25,0.21,4
380,26,0.21,4
381,27,0.23,4
382,28,0.3,4
383,29,0.34,4
384,30,0.33,4
385,31,0.2,4
386,32,0.25,4
387,33,0.33,4
388,34,0.3,4
389,35,0.28,4
390,36,0.3,4
391,37,0.39,4
392,38,0.28,4
393,39,0.32,4
394,40,0.23,4
395,41,0.23,4
396,42,0.28,4
397,43,0.27,4
398,44,0.3,4
399,45,0.33,4
400,46,0.33,4
401,47,0.3,4
402,48,0.24,4
403,49,0.3,4
404,50,0.33,4
405,51,0.3,4
406,52,0.24,4
407,53,0.26,4
408,54,0.32,4
409,55,0.3,4
410,56,0.31,4
411,57,0.31,4
412,58,0.29,4
413,59,0.19,4
414,60,0.37,4
415,61,0.36,4
416,62,0.35,4
417,63,0.35,4
418,64,0.32,4
419,65,0.28,4
420,66,0.22,4
421,67,0.44,4
422,68,0.15,4
423,69,0.34,4
424,70,0.42,4
425,71,0.38,4
426,72,0.37,4
427,73,0.41,4
428,74,0.37,4
429,75,0.36,4
430,76,0.2,4
