,workers,accuracy,simulation
1355,30,0.3,17
1356,31,0.24,17
1357,32,0.18,17
1358,33,0.29,17
1359,34,0.4,17
1360,35,0.36,17
1361,36,0.32,17
1362,37,0.26,17
1363,38,0.25,17
1364,39,0.31,17
1365,40,0.36,17
1366,41,0.27,17
1367,42,0.28,17
1368,43,0.25,17
1369,44,0.21,17
1370,45,0.17,17
1371,46,0.31,17
1372,47,0.33,17
1373,48,0.27,17
1374,49,0.26,17
1375,50,0.25,17
1376,51,0.25,17
1377,52,0.31,17
1378,53,0.19,17
1379,54,0.22,17
1380,55,0.27,17
1381,56,0.2,17
1382,57,0.26,17
1383,58,0.3,17
1384,59,0.32,17
1385,60,0.33,17
1386,61,0.28,17
1387,62,0.24,17
1388,63,0.25,17
1389,64,0.24,17
1390,65,0.3,17
1391,66,0.27,17
1392,67,0.31,17
1393,68,0.2,17
1394,69,0.22,17
1395,70,0.29,17
1396,71,0.31,17
1397,72,0.27,17
1398,73,0.23,17
1399,74,0.22,17
1400,75,0.2,17
1401,76,0.23,17
1402,77,0.32,17
1403,78,0.34,17
1404,79,0.35,17
1405,80,0.34,17
1406,81,0.18,17
1407,82,0.31,17
1408,83,0.27,17
1409,84,0.31,17
1410,85,0.28,17
1411,86,0.36,17
1412,87,0.36,17
1413,88,0.34,17
1414,89,0.31,17
1415,90,0.32,17
1416,91,0.21,17
1417,92,0.24,17
1418,93,0.39,17
1419,94,0.25,17
1420,95,0.17,17
1421,96,0.3,17
1422,97,0.26,17
1423,98,0.28,17
1424,99,0.28,17
1425,17,0.27,18
1426,19,0.28,18
1427,23,0.29,18
1428,24,0.28,18
1429,25,0.33,18
1430,26,0.24,18
1431,27,0.29,18
1432,28,0.21,18
1433,29,0.26,18
1434,30,0.3,18
1435,31,0.26,18
1436,32,0.25,18
1437,33,0.3,18
1438,34,0.27,18
1439,35,0.23,18
1440,36,0.27,18
1441,37,0.18,18
1442,38,0.24,18
1443,39,0.33,18
1444,40,0.31,18
1445,41,0.21,18
1446,42,0.17,18
1447,43,0.23,18
1448,44,0.3,18
1449,45,0.29,18
1450,46,0.21,18
1451,47,0.18,18
1452,48,0.24,18
1453,49,0.29,18
1454,50,0.29,18
1455,51,0.29,18
1456,52,0.27,18
1457,53,0.2,18
1458,54,0.22,18
1459,55,0.31,18
1460,56,0.24,18
1461,57,0.18,18
1462,58,0.31,18
1463,59,0.25,18
1464,60,0.28,18
1465,61,0.34,18
1466,62,0.27,18
1467,63,0.29,18
1468,64,0.25,18
1469,65,0.26,18
1470,66,0.24,18
1471,67,0.21,18
1472,68,0.23,18
1473,69,0.37,18
1474,70,0.17,18
1475,71,0.27,18
1476,72,0.28,18
1477,73,0.2,18
1478,74,0.36,18
1479,75,0.33,18
1480,76,0.32,18
1481,77,0.35,18
1482,78,0.27,18
1483,79,0.25,18
1484,80,0.24,18
1485,81,0.29,18
1486,82,0.34,18
1487,83,0.28,18
1488,84,0.35,18
1489,85,0.34,18
1490,86,0.2,18
1491,87,0.2,18
1492,88,0.3,18
1493,89,0.3,18
1494,90,0.3,18
1495,91,0.15,18
1496,92,0.29,18
1497,93,0.27,18
1498,94,0.26,18
1499,95,0.33,18
1500,96,0.33,18
1501,97,0.22,18
1502,98,0.21,18
1503,99,0.33,18
1504,18,0.38,19
1505,21,0.2,19
1506,23,0.32,19
1507,25,0.3,19
1508,26,0.23,19
1509,27,0.34,19
1510,28,0.34,19
1511,29,0.37,19
1512,30,0.29,19
1513,31,0.29,19
1514,32,0.33,19
1515,33,0.36,19
1516,34,0.21,19
1517,35,0.25,19
1518,36,0.22,19
1519,37,0.21,19
1520,38,0.26,19
1521,39,0.3,19
1522,40,0.19,19
1523,41,0.17,19
1524,42,0.21,19
1525,43,0.3,19
1526,44,0.29,19
1527,45,0.29,19
1528,46,0.23,19
1529,47,0.22,19
1530,48,0.32,19
1531,49,0.29,19
1532,50,0.2,19
1533,51,0.18,19
1534,52,0.32,19
1535,53,0.3,19
1536,54,0.24,19
1537,55,0.24,19
1538,56,0.29,19
1539,57,0.33,19
1540,58,0.19,19
1541,59,0.31,19
1542,60,0.33,19
1543,61,0.18,19
1544,62,0.28,19
1545,63,0.34,19
1546,64,0.34,19
1547,65,0.28,19
1548,66,0.31,19
1549,67,0.28,19
1550,68,0.21,19
1551,69,0.18,19
1552,70,0.21,19
1553,71,0.37,19
1554,72,0.35,19
1555,73,0.16,19
1556,74,0.32,19
1557,75,0.22,19
1558,76,0.24,19
1559,77,0.19,19
1560,78,0.33,19
1561,79,0.3,19
1562,80,0.25,19
1563,81,0.35,19
1564,82,0.2,19
1565,83,0.33,19
1566,84,0.25,19
1567,85,0.2,19
1568,86,0.27,19
1569,87,0.35,19
1570,88,0.19,19
1571,89,0.22,19
1572,90,0.23,19
1573,91,0.31,19
1574,92,0.28,19
1575,93,0.27,19
1576,94,0.24,19
1577,95,0.29,19
1578,96,0.21,19
1579,97,0.23,19
1580,98,0.24,19
1581,99,0.29,19
1582,17,0.27,20
1583,19,0.27,20
1584,20,0.19,20
1585,21,0.3,20
1586,23,0.35,20
1587,24,0.22,20
1588,27,0.22,20
1589,28,0.14,20
1590,29,0.29,20
1591,30,0.28,20
1592,31,0.3,20
1593,32,0.23,20
1594,33,0.26,20
1595,34,0.21,20
1596,35,0.24,20
1597,36,0.26,20
1598,37,0.3,20
1599,38,0.25,20
1600,39,0.23,20
1601,40,0.15,20
1602,41,0.27,20
1603,42,0.23,20
1604,43,0.24,20
1605,44,0.31,20
1606,45,0.28,20
1607,46,0.24,20
1608,47,0.28,20
1609,48,0.22,20
1610,49,0.2,20
1611,50,0.27,20
1612,51,0.28,20
1613,52,0.29,20
1614,53,0.33,20
1615,54,0.3,20
1616,55,0.22,20
1617,56,0.26,20
1618,57,0.19,20
1619,58,0.3,20
1620,59,0.28,20
1621,60,0.29,20
1622,61,0.29,20
1623,62,0.26,20
1624,63,0.26,20
1625,64,0.25,20
1626,65,0.19,20
1627,66,0.33,20
1628,67,0.28,20
1629,68,0.32,20
1630,69,0.26,20
1631,70,0.27,20
1632,71,0.21,20
1633,72,0.33,20
1634,73,0.21,20
1635,74,0.27,20
1636,75,0.23,20
1637,76,0.3,20
1638,77,0.27,20
1639,78,0.27,20
1640,79,0.25,20
1641,80,0.27,20
1642,81,0.32,20
1643,82,0.33,20
1644,83,0.27,20
1645,84,0.22,20
1646,85,0.29,20
1647,86,0.26,20
1648,87,0.23,20
1649,88,0.27,20
1650,89,0.27,20
1651,90,0.33,20
1652,91,0.32,20
1653,92,0.19,20
1654,93,0.28,20
1655,94,0.3,20
1656,95,0.26,20
1657,96,0.25,20
1658,97,0.15,20
1659,98,0.33,20
1660,99,0.22,20
1661,21,0.2,21
1662,22,0.25,21
1663,23,0.3,21
1664,24,0.24,21
1665,25,0.28,21
1666,26,0.26,21
1667,27,0.2,21
1668,28,0.25,21
1669,29,0.3,21
1670,30,0.28,21
1671,31,0.28,21
1672,32,0.36,21
1673,33,0.27,21
1674,34,0.27,21
1675,35,0.22,21
1676,36,0.28,21
1677,37,0.26,21
1678,38,0.32,21
1679,39,0.34,21
1680,40,0.32,21
1681,41,0.31,21
1682,42,0.3,21
1683,43,0.31,21
1684,44,0.32,21
1685,45,0.37,21
1686,46,0.29,21
1687,47,0.2,21
1688,48,0.24,21
1689,49,0.24,21
1690,50,0.3,21
1691,51,0.27,21
1692,52,0.21,21
1693,53,0.32,21
1694,54,0.24,21
1695,55,0.18,21
1696,56,0.26,21
1697,57,0.2,21
1698,58,0.26,21
1699,59,0.31,21
1700,60,0.29,21
1701,61,0.28,21
1702,62,0.26,21
1703,63,0.27,21
1704,64,0.24,21
1705,65,0.22,21
1706,66,0.24,21
1707,67,0.19,21
1708,68,0.3,21
1709,69,0.29,21
1710,70,0.22,21
1711,71,0.27,21
1712,72,0.31,21
1713,73,0.3,21
1714,74,0.25,21
1715,75,0.28,21
1716,76,0.26,21
1717,77,0.3,21
1718,78,0.32,21
1719,79,0.26,21
1720,80,0.18,21
1721,81,0.29,21
1722,82,0.29,21
1723,83,0.27,21
1724,84,0.27,21
1725,85,0.3,21
1726,86,0.24,21
1727,87,0.28,21
1728,88,0.3,21
1729,89,0.31,21
1730,90,0.22,21
1731,91,0.27,21
1732,92,0.23,21
1733,93,0.26,21
1734,94,0.24,21
1735,95,0.19,21
1736,96,0.26,21
1737,97,0.3,21
1738,98,0.29,21
1739,99,0.29,21
1740,15,0.26,22
1741,17,0.23,22
1742,19,0.24,22
1743,20,0.23,22
1744,21,0.28,22
1745,22,0.24,22
1746,23,0.33,22
1747,24,0.26,22
1748,25,0.24,22
1749,26,0.26,22
1750,27,0.15,22
1751,28,0.24,22
1752,29,0.3,22
1753,30,0.27,22
1754,31,0.27,22
1755,32,0.27,22
1756,33,0.39,22
1757,34,0.34,22
1758,35,0.2,22
1759,36,0.33,22
1760,37,0.3,22
1761,39,0.36,22
1762,40,0.3,22
1763,41,0.25,22
1764,42,0.35,22
1765,43,0.27,22
1766,44,0.33,22
1767,45,0.26,22
1768,46,0.23,22
1769,47,0.31,22
1770,48,0.3,22
1771,49,0.3,22
1772,50,0.29,22
1773,51,0.29,22
1774,52,0.29,22
1775,53,0.21,22
1776,54,0.3,22
1777,55,0.25,22
1778,56,0.38,22
1779,57,0.26,22
1780,58,0.31,22
1781,59,0.23,22
1782,60,0.32,22
1783,61,0.16,22
1784,62,0.26,22
1785,63,0.25,22
1786,64,0.21,22
1787,65,0.19,22
1788,66,0.28,22
1789,67,0.17,22
1790,68,0.27,22
1791,69,0.23,22
1792,70,0.31,22
1793,71,0.29,22
1794,72,0.21,22
1795,73,0.24,22
1796,74,0.31,22
1797,75,0.18,22
1798,76,0.29,22
1799,77,0.31,22
1800,78,0.32,22
1801,79,0.25,22
1802,80,0.26,22
1803,81,0.3,22
1804,82,0.21,22
1805,83,0.3,22
1806,84,0.23,22
1807,85,0.18,22
1808,86,0.31,22
1809,87,0.3,22
1810,88,0.29,22
1811,89,0.26,22
1812,90,0.28,22
1813,91,0.35,22
1814,92,0.3,22
1815,93,0.27,22
1816,94,0.25,22
1817,95,0.3,22
1818,96,0.24,22
1819,97,0.29,22
1820,98,0.31,22
1821,99,0.24,22
1822,17,0.28,23
1823,18,0.29,23
1824,21,0.19,23
1825,22,0.35,23
1826,23,0.22,23
1827,24,0.33,23
1828,25,0.16,23
1829,26,0.26,23
1830,27,0.26,23
1831,28,0.26,23
1832,29,0.26,23
1833,30,0.26,23
1834,31,0.29,23
1835,32,0.3,23
1836,33,0.27,23
1837,34,0.28,23
1838,35,0.27,23
1839,36,0.34,23
1840,37,0.25,23
1841,38,0.29,23
1842,39,0.28,23
1843,40,0.25,23
1844,41,0.24,23
1845,42,0.21,23
1846,43,0.29,23
1847,44,0.24,23
1848,45,0.25,23
1849,46,0.3,23
1850,47,0.26,23
1851,48,0.22,23
1852,49,0.28,23
1853,50,0.29,23
1854,51,0.24,23
1855,52,0.31,23
1856,53,0.31,23
1857,54,0.31,23
1858,55,0.28,23
1859,56,0.25,23
1860,57,0.31,23
1861,58,0.36,23
1862,59,0.3,23
1863,60,0.25,23
1864,61,0.27,23
1865,62,0.3,23
1866,63,0.29,23
1867,64,0.25,23
1868,65,0.29,23
1869,66,0.3,23
1870,67,0.27,23
1871,68,0.34,23
1872,69,0.27,23
1873,70,0.31,23
1874,71,0.31,23
1875,72,0.24,23
1876,73,0.35,23
1877,74,0.24,23
1878,75,0.26,23
1879,76,0.21,23
1880,77,0.26,23
1881,78,0.28,23
1882,79,0.43,23
1883,80,0.18,23
1884,81,0.29,23
1885,82,0.16,23
1886,83,0.22,23
1887,84,0.35,23
1888,85,0.22,23
1889,86,0.22,23
1890,87,0.17,23
1891,88,0.36,23
1892,89,0.28,23
1893,90,0.26,23
1894,91,0.29,23
1895,92,0.27,23
1896,93,0.27,23
1897,94,0.36,23
1898,95,0.27,23
1899,96,0.26,23
1900,97,0.28,23
1901,98,0.2,23
1902,99,0.27,23
1903,17,0.23,24
1904,19,0.32,24
1905,20,0.33,24
1906,21,0.33,24
1907,22,0.15,24
1908,24,0.17,24
1909,25,0.28,24
1910,26,0.27,24
1911,27,0.31,24
1912,28,0.16,24
1913,29,0.32,24
1914,30,0.38,24
1915,31,0.26,24
1916,32,0.3,24
1917,33,0.16,24
1918,34,0.26,24
1919,35,0.22,24
1920,36,0.29,24
1921,37,0.3,24
1922,38,0.27,24
1923,39,0.21,24
1924,40,0.2,24
1925,41,0.28,24
1926,42,0.32,24
1927,43,0.29,24
1928,44,0.35,24
1929,45,0.29,24
1930,46,0.23,24
1931,47,0.22,24
1932,48,0.26,24
1933,49,0.2,24
1934,50,0.25,24
1935,51,0.26,24
1936,52,0.27,24
1937,53,0.3,24
1938,54,0.35,24
1939,55,0.33,24
1940,56,0.2,24
1941,57,0.25,24
1942,58,0.28,24
1943,59,0.21,24
1944,60,0.26,24
1945,61,0.29,24
1946,62,0.33,24
1947,63,0.28,24
1948,64,0.23,24
1949,65,0.22,24
1950,66,0.25,24
1951,67,0.37,24
1952,68,0.24,24
1953,69,0.22,24
1954,70,0.26,24
1955,71,0.22,24
1956,72,0.31,24
1957,73,0.3,24
1958,74,0.31,24
1959,75,0.23,24
1960,76,0.25,24
1961,77,0.27,24
1962,78,0.19,24
1963,79,0.29,24
1964,80,0.25,24
1965,81,0.24,24
1966,82,0.3,24
1967,83,0.17,24
1968,84,0.32,24
1969,85,0.24,24
1970,86,0.2,24
1971,87,0.25,24
1972,88,0.34,24
1973,89,0.24,24
1974,90,0.32,24
1975,91,0.26,24
1976,92,0.32,24
1977,93,0.43,24
1978,94,0.26,24
1979,95,0.25,24
1980,96,0.31,24
1981,97,0.24,24
1982,98,0.29,24
1983,99,0.24,24
1984,18,0.38,25
1985,19,0.32,25
1986,22,0.24,25
1987,24,0.3,25
1988,25,0.27,25
1989,26,0.21,25
1990,27,0.29,25
1991,28,0.32,25
1992,29,0.28,25
1993,30,0.28,25
1994,31,0.29,25
1995,32,0.29,25
1996,33,0.19,25
1997,34,0.22,25
1998,35,0.24,25
1999,36,0.19,25
2000,37,0.28,25
2001,38,0.29,25
2002,39,0.21,25
2003,40,0.29,25
2004,41,0.23,25
2005,42,0.29,25
2006,43,0.31,25
2007,44,0.26,25
2008,45,0.31,25
2009,46,0.21,25
2010,47,0.25,25
2011,48,0.21,25
2012,49,0.32,25
2013,50,0.26,25
2014,51,0.36,25
2015,52,0.21,25
2016,53,0.27,25
2017,54,0.23,25
2018,55,0.22,25
2019,56,0.1,25
2020,57,0.17,25
2021,58,0.28,25
2022,59,0.21,25
2023,60,0.33,25
2024,61,0.24,25
2025,62,0.28,25
2026,63,0.3,25
2027,64,0.28,25
2028,65,0.2,25
2029,66,0.21,25
2030,67,0.28,25
2031,68,0.22,25
2032,69,0.29,25
2033,70,0.19,25
2034,71,0.23,25
2035,72,0.3,25
2036,73,0.26,25
2037,74,0.25,25
2038,75,0.29,25
2039,76,0.29,25
2040,77,0.21,25
2041,78,0.23,25
2042,79,0.26,25
2043,80,0.2,25
2044,81,0.24,25
2045,82,0.16,25
2046,83,0.21,25
2047,84,0.29,25
2048,85,0.3,25
2049,86,0.18,25
2050,87,0.24,25
2051,88,0.25,25
2052,89,0.29,25
2053,90,0.31,25
2054,91,0.27,25
2055,92,0.34,25
2056,93,0.24,25
2057,94,0.31,25
2058,95,0.33,25
2059,96,0.28,25
2060,97,0.19,25
2061,98,0.31,25
2062,99,0.21,25
2063,17,0.28,26
2064,23,0.27,26
2065,24,0.25,26
2066,25,0.23,26
2067,26,0.29,26
2068,27,0.19,26
2069,28,0.25,26
2070,29,0.3,26
2071,30,0.27,26
2072,31,0.25,26
2073,32,0.2,26
2074,33,0.18,26
2075,34,0.2,26
2076,35,0.3,26
2077,36,0.28,26
2078,37,0.32,26
2079,38,0.3,26
2080,39,0.25,26
2081,40,0.25,26
2082,41,0.26,26
2083,42,0.23,26
2084,43,0.27,26
2085,44,0.28,26
2086,45,0.36,26
2087,46,0.29,26
2088,47,0.23,26
2089,48,0.3,26
2090,49,0.18,26
2091,50,0.31,26
2092,51,0.28,26
2093,52,0.28,26
2094,53,0.29,26
2095,54,0.2,26
2096,55,0.24,26
2097,56,0.31,26
2098,57,0.26,26
2099,58,0.14,26
2100,59,0.28,26
2101,60,0.26,26
2102,61,0.3,26
2103,62,0.31,26
2104,63,0.22,26
2105,64,0.27,26
2106,65,0.31,26
2107,66,0.3,26
2108,67,0.19,26
2109,68,0.26,26
2110,69,0.28,26
2111,70,0.26,26
2112,71,0.24,26
2113,72,0.27,26
2114,73,0.25,26
2115,74,0.2,26
2116,75,0.21,26
2117,76,0.28,26
2118,77,0.23,26
2119,78,0.25,26
2120,79,0.22,26
2121,80,0.22,26
2122,81,0.31,26
2123,82,0.22,26
2124,83,0.31,26
2125,84,0.27,26
2126,85,0.35,26
2127,86,0.31,26
2128,87,0.24,26
2129,88,0.31,26
2130,89,0.28,26
2131,90,0.14,26
2132,91,0.24,26
2133,92,0.34,26
2134,93,0.19,26
2135,94,0.25,26
2136,95,0.25,26
2137,96,0.25,26
2138,97,0.29,26
2139,98,0.2,26
2140,99,0.17,26
2141,16,0.33,27
2142,17,0.22,27
2143,19,0.29,27
2144,21,0.31,27
2145,22,0.2,27
2146,23,0.28,27
2147,25,0.18,27
2148,26,0.23,27
2149,27,0.32,27
2150,28,0.26,27
2151,29,0.27,27
2152,30,0.26,27
2153,31,0.22,27
2154,32,0.18,27
2155,33,0.35,27
2156,34,0.28,27
2157,35,0.22,27
2158,36,0.25,27
2159,37,0.27,27
2160,38,0.35,27
2161,39,0.24,27
2162,40,0.28,27
2163,41,0.26,27
2164,42,0.25,27
2165,43,0.39,27
2166,44,0.22,27
2167,45,0.31,27
2168,46,0.24,27
2169,47,0.28,27
2170,48,0.3,27
2171,49,0.25,27
2172,50,0.27,27
2173,51,0.3,27
2174,52,0.21,27
2175,53,0.27,27
2176,54,0.28,27
2177,55,0.23,27
2178,56,0.4,27
2179,57,0.29,27
2180,58,0.26,27
2181,59,0.32,27
2182,60,0.21,27
2183,61,0.3,27
2184,62,0.22,27
2185,63,0.31,27
2186,64,0.33,27
2187,65,0.22,27
2188,66,0.32,27
2189,67,0.31,27
2190,68,0.36,27
2191,69,0.32,27
2192,70,0.27,27
2193,71,0.29,27
2194,72,0.15,27
2195,73,0.23,27
2196,74,0.26,27
2197,75,0.3,27
2198,76,0.32,27
2199,77,0.23,27
2200,78,0.34,27
2201,79,0.31,27
2202,80,0.26,27
2203,81,0.29,27
2204,82,0.24,27
2205,83,0.28,27
2206,84,0.23,27
2207,85,0.26,27
2208,86,0.31,27
2209,87,0.31,27
2210,88,0.34,27
2211,89,0.29,27
2212,90,0.31,27
2213,91,0.33,27
2214,92,0.33,27
2215,93,0.27,27
2216,94,0.2,27
2217,95,0.26,27
2218,96,0.25,27
2219,97,0.37,27
2220,98,0.25,27
2221,99,0.21,27
2222,19,0.31,28
2223,20,0.22,28
2224,21,0.23,28
2225,23,0.28,28
2226,24,0.26,28
2227,25,0.29,28
2228,26,0.22,28
2229,27,0.26,28
2230,28,0.24,28
2231,29,0.22,28
2232,30,0.25,28
2233,31,0.29,28
2234,32,0.25,28
2235,33,0.26,28
2236,34,0.3,28
2237,35,0.18,28
2238,36,0.29,28
2239,37,0.26,28
2240,38,0.17,28
2241,39,0.28,28
2242,40,0.19,28
2243,41,0.21,28
2244,42,0.28,28
2245,43,0.36,28
2246,44,0.28,28
2247,45,0.28,28
2248,46,0.3,28
2249,47,0.18,28
2250,48,0.26,28
2251,49,0.31,28
2252,50,0.2,28
2253,51,0.29,28
2254,52,0.2,28
2255,53,0.27,28
2256,54,0.23,28
2257,55,0.27,28
2258,56,0.34,28
2259,57,0.31,28
2260,58,0.27,28
2261,59,0.23,28
2262,60,0.28,28
2263,61,0.21,28
2264,62,0.2,28
2265,63,0.25,28
2266,64,0.25,28
2267,65,0.23,28
2268,66,0.24,28
2269,67,0.37,28
2270,68,0.23,28
2271,69,0.33,28
2272,70,0.32,28
2273,71,0.21,28
2274,72,0.19,28
2275,73,0.31,28
2276,74,0.27,28
2277,75,0.21,28
2278,76,0.27,28
2279,77,0.17,28
2280,78,0.28,28
2281,79,0.22,28
2282,80,0.32,28
2283,81,0.19,28
2284,82,0.21,28
2285,83,0.28,28
2286,84,0.31,28
2287,85,0.27,28
2288,86,0.33,28
2289,87,0.25,28
2290,89,0.25,28
2291,90,0.2,28
2292,91,0.36,28
2293,92,0.23,28
2294,93,0.31,28
2295,94,0.21,28
2296,95,0.3,28
2297,96,0.29,28
2298,97,0.31,28
2299,98,0.21,28
2300,99,0.26,28
2301,17,0.23,29
2302,18,0.23,29
2303,19,0.28,29
2304,20,0.37,29
2305,21,0.37,29
2306,22,0.24,29
2307,23,0.33,29
2308,25,0.24,29
2309,26,0.36,29
2310,27,0.18,29
2311,28,0.22,29
2312,29,0.32,29
2313,30,0.19,29
2314,31,0.26,29
2315,32,0.25,29
2316,33,0.32,29
2317,34,0.16,29
2318,35,0.25,29
2319,36,0.27,29
2320,37,0.36,29
2321,38,0.27,29
2322,39,0.36,29
2323,40,0.37,29
2324,41,0.27,29
2325,42,0.28,29
2326,43,0.24,29
2327,44,0.27,29
2328,45,0.28,29
2329,46,0.3,29
2330,47,0.27,29
2331,48,0.29,29
2332,49,0.23,29
2333,50,0.22,29
2334,51,0.38,29
2335,52,0.28,29
2336,53,0.3,29
2337,54,0.24,29
2338,55,0.25,29
2339,56,0.24,29
2340,57,0.28,29
2341,58,0.27,29
2342,59,0.17,29
2343,60,0.2,29
2344,61,0.28,29
2345,62,0.38,29
2346,63,0.22,29
2347,64,0.29,29
2348,65,0.24,29
2349,66,0.29,29
2350,67,0.33,29
2351,68,0.24,29
2352,69,0.23,29
2353,70,0.24,29
2354,71,0.16,29
2355,72,0.28,29
2356,73,0.16,29
2357,74,0.24,29
2358,75,0.2,29
2359,76,0.3,29
2360,77,0.27,29
2361,78,0.34,29
2362,79,0.26,29
2363,80,0.22,29
2364,81,0.27,29
2365,82,0.25,29
2366,83,0.29,29
2367,84,0.28,29
2368,85,0.23,29
2369,86,0.28,29
2370,87,0.23,29
2371,88,0.3,29
2372,89,0.24,29
2373,90,0.25,29
2374,91,0.28,29
2375,92,0.16,29
2376,93,0.26,29
2377,94,0.29,29
2378,95,0.23,29
2379,96,0.27,29
2380,97,0.22,29
2381,98,0.29,29
2382,99,0.31,29
2383,16,0.26,30
2384,17,0.19,30
2385,20,0.2,30
2386,22,0.28,30
2387,23,0.24,30
2388,24,0.17,30
2389,25,0.27,30
2390,26,0.23,30
2391,27,0.31,30
2392,28,0.21,30
2393,29,0.25,30
2394,30,0.33,30
2395,31,0.24,30
2396,32,0.33,30
2397,33,0.24,30
2398,34,0.28,30
2399,35,0.21,30
2400,36,0.16,30
2401,37,0.27,30
2402,38,0.29,30
2403,39,0.32,30
2404,40,0.28,30
2405,41,0.3,30
2406,42,0.22,30
2407,43,0.34,30
2408,44,0.35,30
2409,45,0.24,30
2410,46,0.25,30
2411,47,0.27,30
2412,48,0.23,30
2413,49,0.24,30
2414,50,0.19,30
2415,51,0.26,30
2416,52,0.4,30
2417,53,0.29,30
2418,54,0.18,30
2419,55,0.26,30
2420,56,0.3,30
2421,57,0.25,30
2422,58,0.27,30
2423,59,0.3,30
2424,60,0.27,30
2425,61,0.21,30
2426,62,0.27,30
2427,63,0.32,30
2428,64,0.2,30
2429,65,0.2,30
2430,66,0.26,30
2431,67,0.29,30
2432,68,0.34,30
2433,69,0.3,30
2434,70,0.31,30
2435,71,0.19,30
2436,72,0.21,30
2437,73,0.29,30
2438,74,0.3,30
2439,75,0.25,30
2440,76,0.28,30
2441,77,0.28,30
2442,78,0.22,30
2443,79,0.24,30
2444,80,0.22,30
2445,81,0.13,30
2446,82,0.18,30
2447,83,0.23,30
2448,84,0.28,30
2449,85,0.28,30
2450,86,0.25,30
2451,87,0.29,30
2452,88,0.24,30
2453,89,0.31,30
2454,90,0.3,30
2455,91,0.31,30
2456,92,0.13,30
2457,93,0.24,30
2458,94,0.28,30
2459,95,0.27,30
2460,96,0.17,30
2461,97,0.24,30
2462,98,0.27,30
2463,99,0.32,30
2464,16,0.29,31
2465,18,0.28,31
2466,21,0.26,31
2467,22,0.33,31
2468,25,0.3,31
2469,26,0.26,31
2470,27,0.29,31
2471,28,0.24,31
2472,29,0.23,31
2473,30,0.24,31
2474,31,0.28,31
2475,32,0.2,31
2476,33,0.28,31
2477,34,0.33,31
2478,35,0.23,31
2479,36,0.24,31
2480,37,0.23,31
2481,38,0.18,31
2482,39,0.29,31
2483,40,0.23,31
2484,41,0.33,31
2485,42,0.15,31
2486,43,0.32,31
2487,44,0.26,31
2488,45,0.34,31
2489,46,0.37,31
2490,47,0.28,31
2491,48,0.17,31
2492,49,0.26,31
2493,50,0.25,31
2494,51,0.29,31
2495,52,0.31,31
2496,53,0.37,31
2497,54,0.25,31
2498,55,0.28,31
2499,56,0.34,31
2500,57,0.33,31
2501,58,0.25,31
2502,59,0.22,31
2503,60,0.3,31
2504,61,0.3,31
2505,62,0.27,31
2506,63,0.3,31
2507,64,0.2,31
2508,65,0.15,31
2509,66,0.31,31
2510,67,0.27,31
2511,68,0.18,31
2512,69,0.31,31
2513,70,0.22,31
2514,71,0.29,31
2515,72,0.29,31
2516,73,0.25,31
2517,74,0.25,31
2518,75,0.29,31
2519,76,0.29,31
2520,77,0.31,31
2521,78,0.17,31
2522,79,0.24,31
2523,80,0.3,31
2524,81,0.33,31
2525,82,0.27,31
2526,83,0.32,31
2527,84,0.27,31
2528,85,0.17,31
2529,86,0.22,31
2530,87,0.25,31
2531,88,0.28,31
2532,89,0.21,31
2533,90,0.29,31
2534,91,0.3,31
2535,92,0.25,31
2536,93,0.33,31
2537,94,0.13,31
2538,95,0.32,31
2539,96,0.3,31
2540,97,0.22,31
2541,98,0.24,31
2542,99,0.29,31
2543,15,0.3,32
2544,18,0.35,32
2545,19,0.24,32
2546,20,0.24,32
2547,21,0.24,32
2548,23,0.26,32
2549,24,0.26,32
2550,25,0.29,32
2551,26,0.28,32
2552,27,0.29,32
2553,28,0.19,32
2554,29,0.26,32
2555,30,0.23,32
2556,31,0.31,32
2557,32,0.26,32
2558,33,0.25,32
2559,34,0.16,32
2560,35,0.37,32
2561,36,0.31,32
2562,37,0.26,32
2563,38,0.33,32
2564,39,0.28,32
2565,40,0.27,32
2566,41,0.17,32
2567,42,0.23,32
2568,43,0.22,32
2569,44,0.31,32
2570,45,0.17,32
2571,46,0.21,32
2572,47,0.27,32
2573,48,0.3,32
2574,49,0.28,32
2575,50,0.16,32
2576,51,0.25,32
2577,52,0.19,32
2578,53,0.32,32
2579,54,0.3,32
2580,55,0.27,32
2581,56,0.31,32
2582,57,0.13,32
2583,58,0.22,32
2584,59,0.24,32
2585,60,0.17,32
2586,61,0.21,32
2587,62,0.27,32
2588,63,0.25,32
2589,64,0.28,32
2590,65,0.27,32
2591,66,0.28,32
2592,67,0.24,32
2593,68,0.2,32
2594,69,0.2,32
2595,70,0.26,32
2596,71,0.28,32
2597,72,0.25,32
2598,73,0.33,32
2599,74,0.24,32
2600,75,0.23,32
2601,76,0.29,32
2602,77,0.27,32
2603,78,0.26,32
2604,79,0.28,32
2605,80,0.24,32
2606,81,0.31,32
2607,82,0.21,32
2608,83,0.31,32
2609,84,0.25,32
2610,85,0.24,32
2611,86,0.32,32
2612,87,0.29,32
2613,88,0.21,32
2614,89,0.3,32
2615,90,0.18,32
2616,91,0.29,32
2617,92,0.23,32
2618,93,0.18,32
2619,94,0.32,32
2620,95,0.22,32
2621,96,0.19,32
2622,97,0.27,32
2623,98,0.24,32
2624,99,0.3,32
2625,18,0.19,33
