,workers,accuracy,simulation
278,58,0.18,3
279,59,0.26,3
280,60,0.32,3
281,61,0.33,3
282,62,0.25,3
283,63,0.34,3
284,64,0.27,3
285,65,0.25,3
286,66,0.3,3
287,67,0.39,3
288,68,0.3,3
289,69,0.27,3
290,70,0.26,3
291,71,0.32,3
292,72,0.21,3
293,73,0.24,3
294,74,0.32,3
295,75,0.23,3
296,76,0.36,3
297,77,0.29,3
298,78,0.28,3
299,79,0.24,3
300,80,0.24,3
301,81,0.16,3
302,82,0.21,3
303,83,0.35,3
304,84,0.34,3
305,85,0.32,3
306,86,0.22,3
307,87,0.22,3
308,88,0.24,3
309,89,0.29,3
310,90,0.29,3
311,91,0.32,3
312,92,0.27,3
313,93,0.23,3
314,94,0.3,3
315,95,0.32,3
316,96,0.21,3
317,97,0.28,3
318,98,0.24,3
319,99,0.32,3
320,14,0.29,4
321,21,0.28,4
322,22,0.14,4
323,23,0.19,4
324,24,0.21,4
325,25,0.27,4
326,27,0.33,4
327,28,0.25,4
328,29,0.29,4
329,30,0.17,4
330,31,0.25,4
331,32,0.23,4
332,33,0.3,4
333,34,0.31,4
334,35,0.3,4
335,36,0.21,4
336,37,0.31,4
337,38,0.23,4
338,39,0.25,4
339,40,0.22,4
340,41,0.24,4
341,42,0.33,4
342,43,0.29,4
343,44,0.26,4
344,45,0.32,4
345,46,0.28,4
346,47,0.29,4
347,48,0.3,4
348,49,0.33,4
349,50,0.23,4
350,51,0.23,4
351,52,0.26,4
352,53,0.25,4
353,54,0.3,4
354,55,0.22,4
355,56,0.32,4
356,57,0.31,4
357,58,0.33,4
358,59,0.26,4
359,60,0.27,4
360,61,0.18,4
361,62,0.28,4
362,63,0.21,4
363,64,0.23,4
364,65,0.26,4
365,66,0.23,4
366,67,0.34,4
367,68,0.33,4
368,69,0.26,4
369,70,0.36,4
370,71,0.29,4
371,72,0.36,4
372,73,0.28,4
373,74,0.27,4
374,75,0.27,4
375,76,0.18,4
376,77,0.3,4
377,78,0.35,4
378,79,0.25,4
379,80,0.28,4
380,81,0.18,4
381,82,0.24,4
382,83,0.25,4
383,84,0.14,4
384,85,0.34,4
385,86,0.21,4
386,87,0.22,4
387,88,0.23,4
388,89,0.29,4
389,90,0.28,4
390,91,0.2,4
391,92,0.3,4
392,93,0.26,4
393,94,0.26,4
394,95,0.29,4
395,96,0.32,4
396,97,0.26,4
397,98,0.28,4
398,99,0.2,4
399,19,0.3,5
400,21,0.22,5
401,22,0.22,5
402,23,0.36,5
403,24,0.31,5
404,25,0.28,5
405,26,0.22,5
406,27,0.32,5
407,28,0.28,5
408,29,0.22,5
409,30,0.2,5
410,31,0.24,5
411,32,0.26,5
412,33,0.31,5
413,34,0.24,5
414,35,0.13,5
415,36,0.18,5
416,37,0.27,5
417,38,0.24,5
418,39,0.23,5
419,40,0.23,5
420,41,0.22,5
421,42,0.19,5
422,43,0.23,5
423,44,0.3,5
424,45,0.24,5
425,46,0.26,5
426,47,0.25,5
427,48,0.19,5
428,49,0.24,5
429,50,0.27,5
430,51,0.31,5
431,52,0.28,5
432,53,0.36,5
433,54,0.31,5
434,55,0.28,5
435,56,0.24,5
436,57,0.18,5
437,58,0.32,5
438,59,0.21,5
439,60,0.3,5
440,61,0.4,5
441,62,0.27,5
442,63,0.27,5
443,64,0.31,5
444,65,0.29,5
445,66,0.32,5
446,67,0.3,5
447,68,0.26,5
448,69,0.27,5
449,70,0.21,5
450,71,0.24,5
451,72,0.27,5
452,73,0.21,5
453,74,0.22,5
454,75,0.25,5
455,76,0.27,5
456,77,0.32,5
457,78,0.25,5
458,79,0.35,5
459,80,0.25,5
460,81,0.27,5
461,82,0.27,5
462,83,0.3,5
463,84,0.27,5
464,85,0.2,5
465,86,0.3,5
466,87,0.3,5
467,88,0.3,5
468,89,0.29,5
469,90,0.27,5
470,91,0.17,5
471,92,0.17,5
472,93,0.3,5
473,94,0.26,5
474,95,0.16,5
475,96,0.31,5
476,97,0.31,5
477,98,0.23,5
478,99,0.34,5
479,19,0.33,6
480,23,0.23,6
481,24,0.36,6
482,25,0.21,6
483,26,0.24,6
484,27,0.38,6
485,28,0.25,6
486,29,0.29,6
487,30,0.14,6
488,31,0.29,6
489,32,0.28,6
490,33,0.32,6
491,34,0.34,6
492,35,0.34,6
493,36,0.27,6
494,37,0.36,6
495,38,0.25,6
496,39,0.15,6
497,40,0.25,6
498,41,0.24,6
499,42,0.36,6
500,43,0.2,6
501,44,0.3,6
502,45,0.28,6
503,46,0.39,6
504,47,0.23,6
505,48,0.18,6
506,49,0.34,6
507,50,0.28,6
508,51,0.17,6
509,52,0.22,6
510,53,0.24,6
511,54,0.24,6
512,55,0.24,6
513,56,0.36,6
514,57,0.25,6
515,58,0.3,6
516,59,0.33,6
517,60,0.28,6
518,61,0.26,6
519,62,0.31,6
520,63,0.31,6
521,64,0.35,6
522,65,0.22,6
523,66,0.23,6
524,67,0.28,6
525,68,0.14,6
526,69,0.29,6
527,70,0.31,6
528,71,0.24,6
529,72,0.24,6
530,73,0.26,6
531,74,0.28,6
532,75,0.28,6
533,76,0.24,6
