total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,alpha,accuracy
80,30,0.6,0.2,9,7,3,0.95
80,30,0.6,0.2,9,7,6,0.9694
80,30,0.6,0.2,9,7,9,0.9833
80,30,0.6,0.4,3,3,3,0.9208
80,30,0.6,0.4,3,3,6,0.9708
80,30,0.6,0.4,3,3,9,0.9583
80,30,0.6,0.4,3,5,3,0.8833
80,30,0.6,0.4,3,5,6,0.9792
80,30,0.6,0.4,3,5,9,0.975
80,30,0.6,0.4,3,7,3,0.95
80,30,0.6,0.4,3,7,6,0.9667
80,30,0.6,0.4,3,7,9,0.9875
80,30,0.6,0.4,5,3,3,0.9275
80,30,0.6,0.4,5,3,6,0.9575
80,30,0.6,0.4,5,3,9,0.96
80,30,0.6,0.4,5,5,3,0.92
80,30,0.6,0.4,5,5,6,0.9625
80,30,0.6,0.4,5,5,9,0.975
80,30,0.6,0.4,5,7,3,0.9475
80,30,0.6,0.4,5,7,6,0.9675
80,30,0.6,0.4,5,7,9,0.9825
80,30,0.6,0.4,7,3,3,0.925
80,30,0.6,0.4,7,3,6,0.9696
80,30,0.6,0.4,7,3,9,0.9911
80,30,0.6,0.4,7,5,3,0.9464
80,30,0.6,0.4,7,5,6,0.9679
80,30,0.6,0.4,7,5,9,0.9893
80,30,0.6,0.4,7,7,3,0.9661
80,30,0.6,0.4,7,7,6,0.9786
80,30,0.6,0.4,7,7,9,0.9839
80,30,0.6,0.4,9,3,3,0.0
80,30,0.6,0.4,9,3,6,0.0
80,30,0.6,0.4,9,3,9,0.9722
80,30,0.6,0.4,9,5,3,0.0
80,30,0.6,0.4,9,5,6,0.0
80,30,0.6,0.4,9,5,9,0.975
80,30,0.6,0.4,9,7,3,0.9528
80,30,0.6,0.4,9,7,6,0.9764
80,30,0.6,0.4,9,7,9,0.9708
80,30,0.6,0.6,3,3,3,0.9208
80,30,0.6,0.6,3,3,6,0.9417
80,30,0.6,0.6,3,3,9,0.9292
80,30,0.6,0.6,3,5,3,0.9458
80,30,0.6,0.6,3,5,6,0.975
80,30,0.6,0.6,3,5,9,0.9792
80,30,0.6,0.6,3,7,3,0.9542
80,30,0.6,0.6,3,7,6,0.9667
80,30,0.6,0.6,3,7,9,0.9792
80,30,0.6,0.6,5,3,3,0.9425
80,30,0.6,0.6,5,3,6,0.9825
80,30,0.6,0.6,5,3,9,0.98
80,30,0.6,0.6,5,5,3,0.9675
80,30,0.6,0.6,5,5,6,0.965
80,30,0.6,0.6,5,5,9,0.98
80,30,0.6,0.6,5,7,3,0.945
80,30,0.6,0.6,5,7,6,0.975
80,30,0.6,0.6,5,7,9,0.98
80,30,0.6,0.6,7,3,3,0.0
80,30,0.6,0.6,7,3,6,0.9554
80,30,0.6,0.6,7,3,9,0.9518
80,30,0.6,0.6,7,5,3,0.9304
80,30,0.6,0.6,7,5,6,0.9732
80,30,0.6,0.6,7,5,9,0.9804
80,30,0.6,0.6,7,7,3,0.0
80,30,0.6,0.6,7,7,6,0.9643
80,30,0.6,0.6,7,7,9,0.9804
80,30,0.6,0.6,9,3,3,0.0
80,30,0.6,0.6,9,3,6,0.0
80,30,0.6,0.6,9,3,9,0.0
80,30,0.6,0.6,9,5,3,0.0
80,30,0.6,0.6,9,5,6,0.0
80,30,0.6,0.6,9,5,9,0.975
80,30,0.6,0.6,9,7,3,0.0
80,30,0.6,0.6,9,7,6,0.9778
80,30,0.6,0.6,9,7,9,0.9861
80,30,0.6,0.8,3,3,3,0.9
80,30,0.6,0.8,3,3,6,0.95
80,30,0.6,0.8,3,3,9,0.9625
80,30,0.6,0.8,3,5,3,0.8917
80,30,0.6,0.8,3,5,6,0.9667
80,30,0.6,0.8,3,5,9,0.9792
80,30,0.6,0.8,3,7,3,0.9333
80,30,0.6,0.8,3,7,6,0.9792
80,30,0.6,0.8,3,7,9,0.9583
80,30,0.6,0.8,5,3,3,0.9275
80,30,0.6,0.8,5,3,6,0.9675
80,30,0.6,0.8,5,3,9,0.9725
80,30,0.6,0.8,5,5,3,0.92
80,30,0.6,0.8,5,5,6,0.965
80,30,0.6,0.8,5,5,9,0.9775
80,30,0.6,0.8,5,7,3,0.925
80,30,0.6,0.8,5,7,6,0.985
80,30,0.6,0.8,5,7,9,0.9875
80,30,0.6,0.8,7,3,3,0.0
80,30,0.6,0.8,7,3,6,0.0
80,30,0.6,0.8,7,3,9,0.9679
80,30,0.6,0.8,7,5,3,0.9071
80,30,0.6,0.8,7,5,6,0.9536
80,30,0.6,0.8,7,5,9,0.9875
80,30,0.6,0.8,7,7,3,0.0
80,30,0.6,0.8,7,7,6,0.9643
80,30,0.6,0.8,7,7,9,0.9839
80,30,0.6,0.8,9,3,3,0.0
80,30,0.6,0.8,9,3,6,0.0
80,30,0.6,0.8,9,3,9,0.0
80,30,0.6,0.8,9,5,3,0.0
80,30,0.6,0.8,9,5,6,0.0
80,30,0.6,0.8,9,5,9,0.9833
80,30,0.6,0.8,9,7,3,0.9542
80,30,0.6,0.8,9,7,6,0.0
80,30,0.6,0.8,9,7,9,0.9819
80,30,0.8,0.2,3,3,3,0.9417
80,30,0.8,0.2,3,3,6,0.9458
80,30,0.8,0.2,3,3,9,0.9458
80,30,0.8,0.2,3,5,3,0.9458
80,30,0.8,0.2,3,5,6,0.9417
80,30,0.8,0.2,3,5,9,0.9542
80,30,0.8,0.2,3,7,3,0.9792
80,30,0.8,0.2,3,7,6,0.9667
80,30,0.8,0.2,3,7,9,0.9667
80,30,0.8,0.2,5,3,3,0.9475
80,30,0.8,0.2,5,3,6,0.95
80,30,0.8,0.2,5,3,9,0.9575
80,30,0.8,0.2,5,5,3,0.9375
80,30,0.8,0.2,5,5,6,0.9725
80,30,0.8,0.2,5,5,9,0.965
80,30,0.8,0.2,5,7,3,0.94
80,30,0.8,0.2,5,7,6,0.96
80,30,0.8,0.2,5,7,9,0.9675
80,30,0.8,0.2,7,3,3,0.9304
80,30,0.8,0.2,7,3,6,0.9696
80,30,0.8,0.2,7,3,9,0.9696
80,30,0.8,0.2,7,5,3,0.9286
80,30,0.8,0.2,7,5,6,0.9643
80,30,0.8,0.2,7,5,9,0.975
80,30,0.8,0.2,7,7,3,0.9696
80,30,0.8,0.2,7,7,6,0.9875
80,30,0.8,0.2,7,7,9,0.9768
80,30,0.8,0.2,9,3,3,0.0
80,30,0.8,0.2,9,3,6,0.9556
80,30,0.8,0.2,9,3,9,0.975
80,30,0.8,0.2,9,5,3,0.9375
80,30,0.8,0.2,9,5,6,0.9792
80,30,0.8,0.2,9,5,9,0.9542
80,30,0.8,0.2,9,7,3,0.9569
80,30,0.8,0.2,9,7,6,0.9736
80,30,0.8,0.2,9,7,9,0.9903
80,30,0.8,0.4,3,3,3,0.9417
80,30,0.8,0.4,3,3,6,0.9292
80,30,0.8,0.4,3,3,9,0.9333
80,30,0.8,0.4,3,5,3,0.8708
80,30,0.8,0.4,3,5,6,0.9792
80,30,0.8,0.4,3,5,9,0.9833
80,30,0.8,0.4,3,7,3,0.9
80,30,0.8,0.4,3,7,6,0.9583
80,30,0.8,0.4,3,7,9,0.9708
80,30,0.8,0.4,5,3,3,0.9475
80,30,0.8,0.4,5,3,6,0.9475
80,30,0.8,0.4,5,3,9,0.9625
80,30,0.8,0.4,5,5,3,0.89
80,30,0.8,0.4,5,5,6,0.96
80,30,0.8,0.4,5,5,9,0.9775
80,30,0.8,0.4,5,7,3,0.9275
80,30,0.8,0.4,5,7,6,0.96
80,30,0.8,0.4,5,7,9,0.985
80,30,0.8,0.4,7,3,3,0.0
80,30,0.8,0.4,7,3,6,0.9464
80,30,0.8,0.4,7,3,9,0.0
80,30,0.8,0.4,7,5,3,0.9482
80,30,0.8,0.4,7,5,6,0.9536
80,30,0.8,0.4,7,5,9,0.9786
80,30,0.8,0.4,7,7,3,0.9536
80,30,0.8,0.4,7,7,6,0.9804
80,30,0.8,0.4,7,7,9,0.9804
80,30,0.8,0.4,9,3,3,0.0
80,30,0.8,0.4,9,3,6,0.0
80,30,0.8,0.4,9,3,9,0.0
80,30,0.8,0.4,9,5,3,0.0
80,30,0.8,0.4,9,5,6,0.9417
80,30,0.8,0.4,9,5,9,0.9764
80,30,0.8,0.4,9,7,3,0.0
80,30,0.8,0.4,9,7,6,0.9764
80,30,0.8,0.4,9,7,9,0.9681
80,30,0.8,0.6,3,3,3,0.8583
80,30,0.8,0.6,3,3,6,0.9667
80,30,0.8,0.6,3,3,9,0.9708
80,30,0.8,0.6,3,5,3,0.9083
80,30,0.8,0.6,3,5,6,0.9708
80,30,0.8,0.6,3,5,9,0.9625
80,30,0.8,0.6,3,7,3,0.9583
80,30,0.8,0.6,3,7,6,0.9708
80,30,0.8,0.6,3,7,9,0.9875
80,30,0.8,0.6,5,3,3,0.9075
80,30,0.8,0.6,5,3,6,0.945
80,30,0.8,0.6,5,3,9,0.9625
80,30,0.8,0.6,5,5,3,0.925
80,30,0.8,0.6,5,5,6,0.955
80,30,0.8,0.6,5,5,9,0.96
80,30,0.8,0.6,5,7,3,0.94
80,30,0.8,0.6,5,7,6,0.9775
80,30,0.8,0.6,5,7,9,0.985
80,30,0.8,0.6,7,3,3,0.0
80,30,0.8,0.6,7,3,6,0.9643
80,30,0.8,0.6,7,3,9,0.9625
80,30,0.8,0.6,7,5,3,0.0
80,30,0.8,0.6,7,5,6,0.9714
80,30,0.8,0.6,7,5,9,0.9875
80,30,0.8,0.6,7,7,3,0.9446
80,30,0.8,0.6,7,7,6,0.9589
80,30,0.8,0.6,7,7,9,0.9804
80,30,0.8,0.6,9,3,3,0.0
80,30,0.8,0.6,9,3,6,0.0
80,30,0.8,0.6,9,3,9,0.9583
80,30,0.8,0.6,9,5,3,0.0
80,30,0.8,0.6,9,5,6,0.0
80,30,0.8,0.6,9,5,9,0.975
80,30,0.8,0.6,9,7,3,0.0
80,30,0.8,0.6,9,7,6,0.9653
80,30,0.8,0.6,9,7,9,0.9806
80,30,0.8,0.8,3,3,3,0.9
80,30,0.8,0.8,3,3,6,0.9458
80,30,0.8,0.8,3,3,9,0.9708
80,30,0.8,0.8,3,5,3,0.8958
80,30,0.8,0.8,3,5,6,0.975
80,30,0.8,0.8,3,5,9,0.9625
80,30,0.8,0.8,3,7,3,0.9542
80,30,0.8,0.8,3,7,6,0.9625
80,30,0.8,0.8,3,7,9,0.9875
80,30,0.8,0.8,5,3,3,0.8875
80,30,0.8,0.8,5,3,6,0.9425
80,30,0.8,0.8,5,3,9,0.9725
80,30,0.8,0.8,5,5,3,0.0
80,30,0.8,0.8,5,5,6,0.97
80,30,0.8,0.8,5,5,9,0.9825
80,30,0.8,0.8,5,7,3,0.9525
80,30,0.8,0.8,5,7,6,0.98
80,30,0.8,0.8,5,7,9,0.98
80,30,0.8,0.8,7,3,3,0.0
80,30,0.8,0.8,7,3,6,0.0
80,30,0.8,0.8,7,3,9,0.9446
80,30,0.8,0.8,7,5,3,0.0
80,30,0.8,0.8,7,5,6,0.9446
80,30,0.8,0.8,7,5,9,0.975
80,30,0.8,0.8,7,7,3,0.9446
80,30,0.8,0.8,7,7,6,0.9732
80,30,0.8,0.8,7,7,9,0.9714
80,30,0.8,0.8,9,3,3,0.0
80,30,0.8,0.8,9,3,6,0.0
80,30,0.8,0.8,9,3,9,0.0
80,30,0.8,0.8,9,5,3,0.0
80,30,0.8,0.8,9,5,6,0.0
80,30,0.8,0.8,9,5,9,0.9653
80,30,0.8,0.8,9,7,3,0.0
80,30,0.8,0.8,9,7,6,0.9847
80,30,0.8,0.8,9,7,9,0.9819
80,40,0.2,0.2,3,3,3,0.9375
80,40,0.2,0.2,3,3,6,0.9375
80,40,0.2,0.2,3,3,9,0.9625
80,40,0.2,0.2,3,5,3,0.9292
80,40,0.2,0.2,3,5,6,0.975
80,40,0.2,0.2,3,5,9,0.9833
80,40,0.2,0.2,3,7,3,0.975
80,40,0.2,0.2,3,7,6,0.9917
80,40,0.2,0.2,3,7,9,0.9875
80,40,0.2,0.2,5,3,3,0.88
80,40,0.2,0.2,5,3,6,0.94
80,40,0.2,0.2,5,3,9,0.975
80,40,0.2,0.2,5,5,3,0.93
80,40,0.2,0.2,5,5,6,0.9725
80,40,0.2,0.2,5,5,9,0.9825
80,40,0.2,0.2,5,7,3,0.94
80,40,0.2,0.2,5,7,6,0.9875
80,40,0.2,0.2,5,7,9,0.9925
80,40,0.2,0.2,7,3,3,0.9518
80,40,0.2,0.2,7,3,6,0.9732
80,40,0.2,0.2,7,3,9,0.9714
80,40,0.2,0.2,7,5,3,0.9054
80,40,0.2,0.2,7,5,6,0.9714
80,40,0.2,0.2,7,5,9,0.9732
80,40,0.2,0.2,7,7,3,0.9589
80,40,0.2,0.2,7,7,6,0.9804
80,40,0.2,0.2,7,7,9,0.9893
80,40,0.2,0.2,9,3,3,0.9583
80,40,0.2,0.2,9,3,6,0.9625
80,40,0.2,0.2,9,3,9,0.9806
80,40,0.2,0.2,9,5,3,0.9458
80,40,0.2,0.2,9,5,6,0.9833
80,40,0.2,0.2,9,5,9,0.9792
80,40,0.2,0.2,9,7,3,0.9556
80,40,0.2,0.2,9,7,6,0.9833
80,40,0.2,0.2,9,7,9,0.9833
80,40,0.2,0.4,3,3,3,0.95
80,40,0.2,0.4,3,3,6,0.9958
80,40,0.2,0.4,3,3,9,0.9667
80,40,0.2,0.4,3,5,3,0.9708
80,40,0.2,0.4,3,5,6,0.9667
80,40,0.2,0.4,3,5,9,0.9833
80,40,0.2,0.4,3,7,3,0.9542
80,40,0.2,0.4,3,7,6,0.9792
80,40,0.2,0.4,3,7,9,0.975
80,40,0.2,0.4,5,3,3,0.93
80,40,0.2,0.4,5,3,6,0.9675
80,40,0.2,0.4,5,3,9,0.985
80,40,0.2,0.4,5,5,3,0.93
80,40,0.2,0.4,5,5,6,0.9675
80,40,0.2,0.4,5,5,9,0.9725
80,40,0.2,0.4,5,7,3,0.9625
80,40,0.2,0.4,5,7,6,0.985
80,40,0.2,0.4,5,7,9,0.98
80,40,0.2,0.4,7,3,3,0.9571
80,40,0.2,0.4,7,3,6,0.9768
80,40,0.2,0.4,7,3,9,0.9821
80,40,0.2,0.4,7,5,3,0.9232
80,40,0.2,0.4,7,5,6,0.9696
80,40,0.2,0.4,7,5,9,0.9768
80,40,0.2,0.4,7,7,3,0.9482
80,40,0.2,0.4,7,7,6,0.9625
80,40,0.2,0.4,7,7,9,0.9946
80,40,0.2,0.4,9,3,3,0.9486
80,40,0.2,0.4,9,3,6,0.9583
80,40,0.2,0.4,9,3,9,0.9819
80,40,0.2,0.4,9,5,3,0.9694
80,40,0.2,0.4,9,5,6,0.9694
80,40,0.2,0.4,9,5,9,0.9806
80,40,0.2,0.4,9,7,3,0.9514
80,40,0.2,0.4,9,7,6,0.9736
80,40,0.2,0.4,9,7,9,0.9875
80,40,0.2,0.6,3,3,3,0.9125
80,40,0.2,0.6,3,3,6,0.9208
80,40,0.2,0.6,3,3,9,0.975
80,40,0.2,0.6,3,5,3,0.9167
80,40,0.2,0.6,3,5,6,0.9708
80,40,0.2,0.6,3,5,9,0.9958
80,40,0.2,0.6,3,7,3,0.9417
80,40,0.2,0.6,3,7,6,0.9583
80,40,0.2,0.6,3,7,9,0.975
80,40,0.2,0.6,5,3,3,0.92
80,40,0.2,0.6,5,3,6,0.9675
80,40,0.2,0.6,5,3,9,0.96
80,40,0.2,0.6,5,5,3,0.94
80,40,0.2,0.6,5,5,6,0.9725
80,40,0.2,0.6,5,5,9,0.975
80,40,0.2,0.6,5,7,3,0.9125
80,40,0.2,0.6,5,7,6,0.9825
80,40,0.2,0.6,5,7,9,0.985
80,40,0.2,0.6,7,3,3,0.0
80,40,0.2,0.6,7,3,6,0.9643
80,40,0.2,0.6,7,3,9,0.9696
80,40,0.2,0.6,7,5,3,0.9536
80,40,0.2,0.6,7,5,6,0.9804
80,40,0.2,0.6,7,5,9,0.9839
80,40,0.2,0.6,7,7,3,0.9518
80,40,0.2,0.6,7,7,6,0.9857
80,40,0.2,0.6,7,7,9,0.9661
80,40,0.2,0.6,9,3,3,0.0
80,40,0.2,0.6,9,3,6,0.9625
80,40,0.2,0.6,9,3,9,0.9806
80,40,0.2,0.6,9,5,3,0.9458
80,40,0.2,0.6,9,5,6,0.9722
80,40,0.2,0.6,9,5,9,0.9806
80,40,0.2,0.6,9,7,3,0.9486
80,40,0.2,0.6,9,7,6,0.9694
80,40,0.2,0.6,9,7,9,0.9861
80,40,0.2,0.8,3,3,3,0.9125
80,40,0.2,0.8,3,3,6,0.9583
80,40,0.2,0.8,3,3,9,0.9667
80,40,0.2,0.8,3,5,3,0.9583
80,40,0.2,0.8,3,5,6,0.975
80,40,0.2,0.8,3,5,9,0.9833
80,40,0.2,0.8,3,7,3,0.9125
80,40,0.2,0.8,3,7,6,0.9917
80,40,0.2,0.8,3,7,9,0.9625
80,40,0.2,0.8,5,3,3,0.91
80,40,0.2,0.8,5,3,6,0.9325
80,40,0.2,0.8,5,3,9,0.9575
80,40,0.2,0.8,5,5,3,0.915
80,40,0.2,0.8,5,5,6,0.9625
80,40,0.2,0.8,5,5,9,0.975
80,40,0.2,0.8,5,7,3,0.9625
80,40,0.2,0.8,5,7,6,0.9875
80,40,0.2,0.8,5,7,9,0.9825
80,40,0.2,0.8,7,3,3,0.9107
80,40,0.2,0.8,7,3,6,0.9571
80,40,0.2,0.8,7,3,9,0.9786
80,40,0.2,0.8,7,5,3,0.9393
80,40,0.2,0.8,7,5,6,0.9571
80,40,0.2,0.8,7,5,9,0.9839
80,40,0.2,0.8,7,7,3,0.9429
80,40,0.2,0.8,7,7,6,0.975
80,40,0.2,0.8,7,7,9,0.9893
80,40,0.2,0.8,9,3,3,0.0
80,40,0.2,0.8,9,3,6,0.9639
80,40,0.2,0.8,9,3,9,0.975
80,40,0.2,0.8,9,5,3,0.9153
80,40,0.2,0.8,9,5,6,0.9597
80,40,0.2,0.8,9,5,9,0.9764
80,40,0.2,0.8,9,7,3,0.9472
80,40,0.2,0.8,9,7,6,0.9889
80,40,0.2,0.8,9,7,9,0.9764
80,40,0.4,0.2,3,3,3,0.9375
80,40,0.4,0.2,3,3,6,0.9625
80,40,0.4,0.2,3,3,9,0.9875
80,40,0.4,0.2,3,5,3,0.8917
80,40,0.4,0.2,3,5,6,0.9667
80,40,0.4,0.2,3,5,9,0.9792
80,40,0.4,0.2,3,7,3,0.925
80,40,0.4,0.2,3,7,6,0.9875
80,40,0.4,0.2,3,7,9,0.9875
80,40,0.4,0.2,5,3,3,0.94
80,40,0.4,0.2,5,3,6,0.9575
80,40,0.4,0.2,5,3,9,0.9775
80,40,0.4,0.2,5,5,3,0.94
80,40,0.4,0.2,5,5,6,0.9575
80,40,0.4,0.2,5,5,9,0.9875
80,40,0.4,0.2,5,7,3,0.955
80,40,0.4,0.2,5,7,6,0.98
80,40,0.4,0.2,5,7,9,0.9725
80,40,0.4,0.2,7,3,3,0.9446
80,40,0.4,0.2,7,3,6,0.9625
80,40,0.4,0.2,7,3,9,0.9554
80,40,0.4,0.2,7,5,3,0.9357
80,40,0.4,0.2,7,5,6,0.9804
80,40,0.4,0.2,7,5,9,0.9786
80,40,0.4,0.2,7,7,3,0.9643
80,40,0.4,0.2,7,7,6,0.9714
80,40,0.4,0.2,7,7,9,0.9929
80,40,0.4,0.2,9,3,3,0.9139
80,40,0.4,0.2,9,3,6,0.9542
80,40,0.4,0.2,9,3,9,0.9778
80,40,0.4,0.2,9,5,3,0.9444
80,40,0.4,0.2,9,5,6,0.9625
80,40,0.4,0.2,9,5,9,0.9792
80,40,0.4,0.2,9,7,3,0.9514
80,40,0.4,0.2,9,7,6,0.9778
80,40,0.4,0.2,9,7,9,0.9944
80,40,0.4,0.4,3,3,3,0.9292
80,40,0.4,0.4,3,3,6,0.9292
80,40,0.4,0.4,3,3,9,0.9417
80,40,0.4,0.4,3,5,3,0.9
80,40,0.4,0.4,3,5,6,0.9667
80,40,0.4,0.4,3,5,9,0.9708
80,40,0.4,0.4,3,7,3,0.9583
80,40,0.4,0.4,3,7,6,0.975
80,40,0.4,0.4,3,7,9,0.9875
80,40,0.4,0.4,5,3,3,0.9075
80,40,0.4,0.4,5,3,6,0.945
80,40,0.4,0.4,5,3,9,0.98
80,40,0.4,0.4,5,5,3,0.9225
80,40,0.4,0.4,5,5,6,0.965
80,40,0.4,0.4,5,5,9,0.9725
80,40,0.4,0.4,5,7,3,0.95
80,40,0.4,0.4,5,7,6,0.9825
80,40,0.4,0.4,5,7,9,0.9875
80,40,0.4,0.4,7,3,3,0.9196
80,40,0.4,0.4,7,3,6,0.9661
80,40,0.4,0.4,7,3,9,0.9804
80,40,0.4,0.4,7,5,3,0.9339
80,40,0.4,0.4,7,5,6,0.9714
80,40,0.4,0.4,7,5,9,0.9893
80,40,0.4,0.4,7,7,3,0.9411
80,40,0.4,0.4,7,7,6,0.9804
80,40,0.4,0.4,7,7,9,0.9893
80,40,0.4,0.4,9,3,3,0.9236
80,40,0.4,0.4,9,3,6,0.9444
80,40,0.4,0.4,9,3,9,0.9625
80,40,0.4,0.4,9,5,3,0.9417
80,40,0.4,0.4,9,5,6,0.975
80,40,0.4,0.4,9,5,9,0.9819
80,40,0.4,0.4,9,7,3,0.9681
80,40,0.4,0.4,9,7,6,0.9681
80,40,0.4,0.4,9,7,9,0.9806
80,40,0.4,0.6,3,3,3,0.8875
80,40,0.4,0.6,3,3,6,0.9542
80,40,0.4,0.6,3,3,9,0.975
80,40,0.4,0.6,3,5,3,0.9417
80,40,0.4,0.6,3,5,6,0.975
80,40,0.4,0.6,3,5,9,0.9708
80,40,0.4,0.6,3,7,3,0.9208
80,40,0.4,0.6,3,7,6,0.9625
80,40,0.4,0.6,3,7,9,0.9958
80,40,0.4,0.6,5,3,3,0.8925
80,40,0.4,0.6,5,3,6,0.94
80,40,0.4,0.6,5,3,9,0.965
80,40,0.4,0.6,5,5,3,0.925
80,40,0.4,0.6,5,5,6,0.9625
80,40,0.4,0.6,5,5,9,0.9675
80,40,0.4,0.6,5,7,3,0.93
80,40,0.4,0.6,5,7,6,0.98
80,40,0.4,0.6,5,7,9,0.9825
80,40,0.4,0.6,7,3,3,0.9554
80,40,0.4,0.6,7,3,6,0.9446
80,40,0.4,0.6,7,3,9,0.9625
80,40,0.4,0.6,7,5,3,0.9089
80,40,0.4,0.6,7,5,6,0.9643
80,40,0.4,0.6,7,5,9,0.9821
80,40,0.4,0.6,7,7,3,0.9589
80,40,0.4,0.6,7,7,6,0.9839
80,40,0.4,0.6,7,7,9,0.9696
80,40,0.4,0.6,9,3,3,0.0
80,40,0.4,0.6,9,3,6,0.9597
80,40,0.4,0.6,9,3,9,0.9653
80,40,0.4,0.6,9,5,3,0.9278
80,40,0.4,0.6,9,5,6,0.9681
80,40,0.4,0.6,9,5,9,0.9778
80,40,0.4,0.6,9,7,3,0.9681
80,40,0.4,0.6,9,7,6,0.9667
80,40,0.4,0.6,9,7,9,0.9792
80,40,0.4,0.8,3,3,3,0.9042
80,40,0.4,0.8,3,3,6,0.975
80,40,0.4,0.8,3,3,9,0.9792
80,40,0.4,0.8,3,5,3,0.9417
80,40,0.4,0.8,3,5,6,0.975
80,40,0.4,0.8,3,5,9,0.9875
80,40,0.4,0.8,3,7,3,0.9417
80,40,0.4,0.8,3,7,6,0.975
80,40,0.4,0.8,3,7,9,0.9792
80,40,0.4,0.8,5,3,3,0.925
80,40,0.4,0.8,5,3,6,0.9575
80,40,0.4,0.8,5,3,9,0.955
80,40,0.4,0.8,5,5,3,0.9025
80,40,0.4,0.8,5,5,6,0.9725
80,40,0.4,0.8,5,5,9,0.965
80,40,0.4,0.8,5,7,3,0.9275
80,40,0.4,0.8,5,7,6,0.96
80,40,0.4,0.8,5,7,9,0.9775
80,40,0.4,0.8,7,3,3,0.0
80,40,0.4,0.8,7,3,6,0.9625
80,40,0.4,0.8,7,3,9,0.975
80,40,0.4,0.8,7,5,3,0.9571
80,40,0.4,0.8,7,5,6,0.95
80,40,0.4,0.8,7,5,9,0.9696
80,40,0.4,0.8,7,7,3,0.9321
80,40,0.4,0.8,7,7,6,0.9732
80,40,0.4,0.8,7,7,9,0.9857
80,40,0.4,0.8,9,3,3,0.0
80,40,0.4,0.8,9,3,6,0.9569
80,40,0.4,0.8,9,3,9,0.9764
80,40,0.4,0.8,9,5,3,0.0
80,40,0.4,0.8,9,5,6,0.9639
80,40,0.4,0.8,9,5,9,0.975
80,40,0.4,0.8,9,7,3,0.0
80,40,0.4,0.8,9,7,6,0.9875
80,40,0.4,0.8,9,7,9,0.975
80,40,0.6,0.2,3,3,3,0.9167
80,40,0.6,0.2,3,3,6,0.9208
80,40,0.6,0.2,3,3,9,0.9458
80,40,0.6,0.2,3,5,3,0.925
80,40,0.6,0.2,3,5,6,0.9625
80,40,0.6,0.2,3,5,9,0.9958
80,40,0.6,0.2,3,7,3,0.9667
80,40,0.6,0.2,3,7,6,0.9667
80,40,0.6,0.2,3,7,9,0.9875
80,40,0.6,0.2,5,3,3,0.93
80,40,0.6,0.2,5,3,6,0.94
80,40,0.6,0.2,5,3,9,0.97
80,40,0.6,0.2,5,5,3,0.955
80,40,0.6,0.2,5,5,6,0.975
80,40,0.6,0.2,5,5,9,0.9875
80,40,0.6,0.2,5,7,3,0.9225
80,40,0.6,0.2,5,7,6,0.965
80,40,0.6,0.2,5,7,9,0.97
80,40,0.6,0.2,7,3,3,0.9375
80,40,0.6,0.2,7,3,6,0.9607
80,40,0.6,0.2,7,3,9,0.9714
80,40,0.6,0.2,7,5,3,0.9286
80,40,0.6,0.2,7,5,6,0.9607
80,40,0.6,0.2,7,5,9,0.9839
80,40,0.6,0.2,7,7,3,0.9411
80,40,0.6,0.2,7,7,6,0.975
80,40,0.6,0.2,7,7,9,0.9821
80,40,0.6,0.2,9,3,3,0.9111
80,40,0.6,0.2,9,3,6,0.9597
80,40,0.6,0.2,9,3,9,0.9681
80,40,0.6,0.2,9,5,3,0.9486
80,40,0.6,0.2,9,5,6,0.9583
80,40,0.6,0.2,9,5,9,0.9764
80,40,0.6,0.2,9,7,3,0.9681
80,40,0.6,0.2,9,7,6,0.975
80,40,0.6,0.2,9,7,9,0.9792
80,40,0.6,0.4,3,3,3,0.9042
80,40,0.6,0.4,3,3,6,0.95
80,40,0.6,0.4,3,3,9,0.9708
80,40,0.6,0.4,3,5,3,0.9083
80,40,0.6,0.4,3,5,6,0.9667
80,40,0.6,0.4,3,5,9,0.975
80,40,0.6,0.4,3,7,3,0.9583
80,40,0.6,0.4,3,7,6,0.95
80,40,0.6,0.4,3,7,9,0.9667
80,40,0.6,0.4,5,3,3,0.96
80,40,0.6,0.4,5,3,6,0.9525
80,40,0.6,0.4,5,3,9,0.9825
80,40,0.6,0.4,5,5,3,0.955
80,40,0.6,0.4,5,5,6,0.9725
80,40,0.6,0.4,5,5,9,0.975
80,40,0.6,0.4,5,7,3,0.955
80,40,0.6,0.4,5,7,6,0.975
80,40,0.6,0.4,5,7,9,0.9875
80,40,0.6,0.4,7,3,3,0.9357
80,40,0.6,0.4,7,3,6,0.9661
80,40,0.6,0.4,7,3,9,0.9589
80,40,0.6,0.4,7,5,3,0.9357
80,40,0.6,0.4,7,5,6,0.9679
80,40,0.6,0.4,7,5,9,0.9768
80,40,0.6,0.4,7,7,3,0.9554
80,40,0.6,0.4,7,7,6,0.9804
80,40,0.6,0.4,7,7,9,0.9929
80,40,0.6,0.4,9,3,3,0.0
80,40,0.6,0.4,9,3,6,0.9806
80,40,0.6,0.4,9,3,9,0.9653
80,40,0.6,0.4,9,5,3,0.9389
80,40,0.6,0.4,9,5,6,0.975
80,40,0.6,0.4,9,5,9,0.9889
80,40,0.6,0.4,9,7,3,0.9472
80,40,0.6,0.4,9,7,6,0.9611
