total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
60,40,0.8,0.4,7,3,0.9429
60,40,0.8,0.4,7,5,0.9667
60,40,0.8,0.4,7,7,0.9619
60,40,0.8,0.6,3,3,0.9389
60,40,0.8,0.6,3,5,0.9778
60,40,0.8,0.6,3,7,0.95
60,40,0.8,0.6,5,3,0.9733
60,40,0.8,0.6,5,5,0.9533
60,40,0.8,0.6,5,7,0.9733
60,40,0.8,0.6,7,3,0.9595
60,40,0.8,0.6,7,5,0.9429
60,40,0.8,0.6,7,7,0.9643
80,30,0.2,0.4,3,3,0.9625
80,30,0.2,0.4,3,5,0.95
80,30,0.2,0.4,3,7,0.9583
80,30,0.2,0.4,5,3,0.955
80,30,0.2,0.4,5,5,0.9425
80,30,0.2,0.4,5,7,0.9675
80,30,0.2,0.4,7,3,0.9429
80,30,0.2,0.4,7,5,0.0
80,30,0.2,0.4,7,7,0.9304
80,30,0.2,0.6,3,3,0.9458
80,30,0.2,0.6,3,5,0.9125
80,30,0.2,0.6,3,7,0.9458
80,30,0.2,0.6,5,3,0.94
80,30,0.2,0.6,5,5,0.965
80,30,0.2,0.6,5,7,0.975
80,30,0.2,0.6,7,3,0.0
80,30,0.2,0.6,7,5,0.9804
80,30,0.2,0.6,7,7,0.9768
80,30,0.4,0.4,3,3,0.9542
80,30,0.4,0.4,3,5,0.9667
80,30,0.4,0.4,3,7,0.9792
80,30,0.4,0.4,5,3,0.9525
80,30,0.4,0.4,5,5,0.975
80,30,0.4,0.4,5,7,0.98
80,30,0.4,0.4,7,3,0.9732
80,30,0.4,0.4,7,5,0.9429
80,30,0.4,0.4,7,7,0.9732
80,30,0.4,0.6,3,3,0.9542
80,30,0.4,0.6,3,5,0.95
80,30,0.4,0.6,3,7,0.9833
80,30,0.4,0.6,5,3,0.9475
80,30,0.4,0.6,5,5,0.95
80,30,0.4,0.6,5,7,0.9425
80,30,0.4,0.6,7,3,0.0
80,30,0.4,0.6,7,5,0.9679
80,30,0.4,0.6,7,7,0.9571
80,30,0.6,0.4,3,3,0.9542
80,30,0.6,0.4,3,5,0.9875
80,30,0.6,0.4,3,7,0.9667
80,30,0.6,0.4,5,3,0.9675
80,30,0.6,0.4,5,5,0.9575
80,30,0.6,0.4,5,7,0.965
80,30,0.6,0.4,7,3,0.0
80,30,0.6,0.4,7,5,0.9643
80,30,0.6,0.4,7,7,0.9857
80,30,0.6,0.6,3,3,0.9333
80,30,0.6,0.6,3,5,0.9625
80,30,0.6,0.6,3,7,0.9708
80,30,0.6,0.6,5,3,0.945
80,30,0.6,0.6,5,5,0.925
80,30,0.6,0.6,5,7,0.9725
80,30,0.6,0.6,7,3,0.0
80,30,0.6,0.6,7,5,0.9661
80,30,0.6,0.6,7,7,0.9661
80,30,0.8,0.4,3,3,0.9583
80,30,0.8,0.4,3,5,0.95
