total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy,cross_entropy,f1
1643,30,0,0.1,3,9,0.9921,3.1659,0.9922
1643,30,0,0.1,5,9,0.9926,3.1678,0.9926
1643,30,0,0.1,7,9,0.9937,3.1653,0.9937
1643,30,0,0.1,9,9,0.9911,3.1682,0.9911
1643,30,0,0.1,11,9,0.0,0.0,0.0
1643,30,0,0.1,13,9,0.0,0.0,0.0
1643,30,0,0.1,15,9,0.0,0.0,0.0
1643,30,0,0.1,17,9,0.0,0.0,0.0
1643,30,0,0.1,19,9,0.0,0.0,0.0
1643,30,0,0.15,3,9,0.9886,3.1672,0.9885
1643,30,0,0.15,5,9,0.9884,3.1645,0.9885
1643,30,0,0.15,7,9,0.9886,3.1649,0.9885
1643,30,0,0.15,9,9,0.0,0.0,0.0
1643,30,0,0.15,11,9,0.0,0.0,0.0
1643,30,0,0.15,13,9,0.0,0.0,0.0
1643,30,0,0.15,15,9,0.0,0.0,0.0
1643,30,0,0.15,17,9,0.0,0.0,0.0
1643,30,0,0.15,19,9,0.0,0.0,0.0
1643,30,0,0.2,3,9,0.9884,3.1677,0.9884
1643,30,0,0.2,5,9,0.9876,3.1667,0.9876
1643,30,0,0.2,7,9,0.9843,3.1691,0.9842
1643,30,0,0.2,9,9,0.9899,3.1677,0.9898
1643,30,0,0.2,11,9,0.0,0.0,0.0
1643,30,0,0.2,13,9,0.0,0.0,0.0
1643,30,0,0.2,15,9,0.0,0.0,0.0
1643,30,0,0.2,17,9,0.0,0.0,0.0
1643,30,0,0.2,19,9,0.0,0.0,0.0
1643,30,0,0.25,3,9,0.9793,3.1657,0.9792
1643,30,0,0.25,5,9,0.9804,3.1673,0.9803
1643,30,0,0.25,7,9,0.9855,3.1686,0.9854
1643,30,0,0.25,9,9,0.0,0.0,0.0
1643,30,0,0.25,11,9,0.0,0.0,0.0
1643,30,0,0.25,13,9,0.0,0.0,0.0
1643,30,0,0.25,15,9,0.0,0.0,0.0
1643,30,0,0.25,17,9,0.0,0.0,0.0
1643,30,0,0.25,19,9,0.0,0.0,0.0
1643,30,0,0.3,3,9,0.9797,3.168,0.9798
1643,30,0,0.3,5,9,0.9834,3.1676,0.9835
1643,30,0,0.3,7,9,0.9834,3.1645,0.9834
1643,30,0,0.3,9,9,0.0,0.0,0.0
1643,30,0,0.3,11,9,0.0,0.0,0.0
1643,30,0,0.3,13,9,0.0,0.0,0.0
1643,30,0,0.3,15,9,0.0,0.0,0.0
1643,30,0,0.3,17,9,0.0,0.0,0.0
1643,30,0,0.3,19,9,0.0,0.0,0.0
1643,30,0,0.35,3,9,0.9787,3.1673,0.9789
1643,30,0,0.35,5,9,0.9702,3.1662,0.9702
1643,30,0,0.35,7,9,0.9784,3.1654,0.9783
1643,30,0,0.35,9,9,0.0,0.0,0.0
1643,30,0,0.35,11,9,0.0,0.0,0.0
1643,30,0,0.35,13,9,0.0,0.0,0.0
1643,30,0,0.35,15,9,0.0,0.0,0.0
1643,30,0,0.35,17,9,0.0,0.0,0.0
1643,30,0,0.35,19,9,0.0,0.0,0.0
1643,30,0,0.4,3,9,0.9767,3.1687,0.9766
1643,30,0,0.4,5,9,0.9727,3.167,0.9727
1643,30,0,0.4,7,9,0.9791,3.1691,0.9791
1643,30,0,0.4,9,9,0.974,3.166,0.9739
1643,30,0,0.4,11,9,0.0,0.0,0.0
1643,30,0,0.4,13,9,0.0,0.0,0.0
1643,30,0,0.4,15,9,0.0,0.0,0.0
1643,30,0,0.4,17,9,0.0,0.0,0.0
1643,30,0,0.4,19,9,0.0,0.0,0.0
1643,30,0,0.45,3,9,0.972,3.1671,0.972
1643,30,0,0.45,5,9,0.9763,3.165,0.976
1643,30,0,0.45,7,9,0.0,0.0,0.0
1643,30,0,0.45,9,9,0.973,3.1665,0.9729
1643,30,0,0.45,11,9,0.0,0.0,0.0
1643,30,0,0.45,13,9,0.0,0.0,0.0
1643,30,0,0.45,15,9,0.0,0.0,0.0
1643,30,0,0.45,17,9,0.0,0.0,0.0
1643,30,0,0.45,19,9,0.0,0.0,0.0
