total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
60,30,0.6,0.2,11,5,0.0
60,30,0.6,0.2,11,7,0.9636
60,30,0.6,0.4,3,3,0.9
60,30,0.6,0.4,3,5,0.9444
60,30,0.6,0.4,3,7,0.9389
60,30,0.6,0.4,5,3,0.9333
60,30,0.6,0.4,5,5,0.92
60,30,0.6,0.4,5,7,0.9533
60,30,0.6,0.4,7,3,0.0
60,30,0.6,0.4,7,5,0.0
60,30,0.6,0.4,7,7,0.9667
60,30,0.6,0.4,9,3,0.9352
60,30,0.6,0.4,9,5,0.0
60,30,0.6,0.4,9,7,0.9556
60,30,0.6,0.4,11,3,0.0
60,30,0.6,0.4,11,5,0.9455
60,30,0.6,0.4,11,7,0.9576
60,30,0.6,0.6,3,3,0.9167
60,30,0.6,0.6,3,5,0.9611
60,30,0.6,0.6,3,7,0.95
60,30,0.6,0.6,5,3,0.9433
60,30,0.6,0.6,5,5,0.9767
60,30,0.6,0.6,5,7,0.93
60,30,0.6,0.6,7,3,0.0
60,30,0.6,0.6,7,5,0.0
60,30,0.6,0.6,7,7,0.9238
60,30,0.6,0.6,9,3,0.0
60,30,0.6,0.6,9,5,0.0
60,30,0.6,0.6,9,7,0.0
60,30,0.6,0.6,11,3,0.0
60,30,0.6,0.6,11,5,0.0
60,30,0.6,0.6,11,7,0.0
60,30,0.6,0.8,3,3,0.9389
60,30,0.6,0.8,3,5,0.9167
60,30,0.6,0.8,3,7,0.9722
60,30,0.6,0.8,5,3,0.9
60,30,0.6,0.8,5,5,0.9767
60,30,0.6,0.8,5,7,0.0
60,30,0.6,0.8,7,3,0.0
60,30,0.6,0.8,7,5,0.9405
60,30,0.6,0.8,7,7,0.95
60,30,0.6,0.8,9,3,0.0
60,30,0.6,0.8,9,5,0.0
60,30,0.6,0.8,9,7,0.0
60,30,0.6,0.8,11,3,0.0
60,30,0.6,0.8,11,5,0.0
60,30,0.6,0.8,11,7,0.0
60,30,0.8,0.2,3,3,0.9167
60,30,0.8,0.2,3,5,0.9667
60,30,0.8,0.2,3,7,0.8722
60,30,0.8,0.2,5,3,0.8867
60,30,0.8,0.2,5,5,0.9133
60,30,0.8,0.2,5,7,0.9467
60,30,0.8,0.2,7,3,0.9619
60,30,0.8,0.2,7,5,0.9357
60,30,0.8,0.2,7,7,0.9762
60,30,0.8,0.2,9,3,0.0
60,30,0.8,0.2,9,5,0.9426
60,30,0.8,0.2,9,7,0.913
60,30,0.8,0.2,11,3,0.0
60,30,0.8,0.2,11,5,0.0
60,30,0.8,0.2,11,7,0.0
60,30,0.8,0.4,3,3,0.9056
60,30,0.8,0.4,3,5,0.9278
60,30,0.8,0.4,3,7,0.9444
60,30,0.8,0.4,5,3,0.9333
60,30,0.8,0.4,5,5,0.9333
60,30,0.8,0.4,5,7,0.9533
60,30,0.8,0.4,7,3,0.0
60,30,0.8,0.4,7,5,0.0
60,30,0.8,0.4,7,7,0.9333
60,30,0.8,0.4,9,3,0.0
60,30,0.8,0.4,9,5,0.0
60,30,0.8,0.4,9,7,0.0
60,30,0.8,0.4,11,3,0.0
60,30,0.8,0.4,11,5,0.0
60,30,0.8,0.4,11,7,0.0
60,30,0.8,0.6,3,3,0.9111
60,30,0.8,0.6,3,5,0.9
60,30,0.8,0.6,3,7,0.95
60,30,0.8,0.6,5,3,0.0
60,30,0.8,0.6,5,5,0.9267
60,30,0.8,0.6,5,7,0.9333
60,30,0.8,0.6,7,3,0.0
60,30,0.8,0.6,7,5,0.0
60,30,0.8,0.6,7,7,0.8952
60,30,0.8,0.6,9,3,0.0
60,30,0.8,0.6,9,5,0.0
60,30,0.8,0.6,9,7,0.0
60,30,0.8,0.6,11,3,0.0
60,30,0.8,0.6,11,5,0.0
60,30,0.8,0.6,11,7,0.0
60,30,0.8,0.8,3,3,0.9056
60,30,0.8,0.8,3,5,0.9278
60,30,0.8,0.8,3,7,0.9389
60,30,0.8,0.8,5,3,0.9267
60,30,0.8,0.8,5,5,0.89
60,30,0.8,0.8,5,7,0.0
60,30,0.8,0.8,7,3,0.0
60,30,0.8,0.8,7,5,0.0
60,30,0.8,0.8,7,7,0.0
60,30,0.8,0.8,9,3,0.0
60,30,0.8,0.8,9,5,0.0
60,30,0.8,0.8,9,7,0.0
