,0,1,2,3,4,5,6,7
0,60,20,0.2,3,0.1,0.1,,
1,60,20,0.2,3,0.1,0.3,,
2,60,20,0.2,3,0.1,0.5,,
3,60,20,0.2,3,0.1,0.7,0.8741666666666668,0.22000000000000003
4,60,20,0.2,3,0.1,0.9,,
5,60,20,0.2,3,0.3,0.1,,
6,60,20,0.2,3,0.3,0.3,,
7,60,20,0.2,3,0.3,0.5,,
8,60,20,0.2,3,0.3,0.7,,
9,60,20,0.2,3,0.3,0.9,,
10,60,20,0.2,3,0.5,0.1,,
11,60,20,0.2,3,0.5,0.3,,
12,60,20,0.2,3,0.5,0.5,,
13,60,20,0.2,3,0.5,0.7,,
14,60,20,0.2,3,0.5,0.9,,
15,60,20,0.2,3,0.7,0.1,,
16,60,20,0.2,3,0.7,0.3,,
17,60,20,0.2,3,0.7,0.5,,
18,60,20,0.2,3,0.7,0.7,,
19,60,20,0.2,3,0.7,0.9,,
20,60,20,0.2,3,0.9,0.1,,
21,60,20,0.2,3,0.9,0.3,,
22,60,20,0.2,3,0.9,0.5,,
23,60,20,0.2,3,0.9,0.7,,
24,60,20,0.2,3,0.9,0.9,,
25,60,20,0.2,5,0.1,0.1,,
26,60,20,0.2,5,0.1,0.3,,
27,60,20,0.2,5,0.1,0.5,,
28,60,20,0.2,5,0.1,0.7,,
29,60,20,0.2,5,0.1,0.9,,
30,60,20,0.2,5,0.3,0.1,,
31,60,20,0.2,5,0.3,0.3,,
32,60,20,0.2,5,0.3,0.5,,
33,60,20,0.2,5,0.3,0.7,,
34,60,20,0.2,5,0.3,0.9,,
35,60,20,0.2,5,0.5,0.1,,
36,60,20,0.2,5,0.5,0.3,,
37,60,20,0.2,5,0.5,0.5,,
38,60,20,0.2,5,0.5,0.7,,
39,60,20,0.2,5,0.5,0.9,,
40,60,20,0.2,5,0.7,0.1,,
41,60,20,0.2,5,0.7,0.3,,
42,60,20,0.2,5,0.7,0.5,,
43,60,20,0.2,5,0.7,0.7,,
44,60,20,0.2,5,0.7,0.9,,
45,60,20,0.2,5,0.9,0.1,,
46,60,20,0.2,5,0.9,0.3,,
47,60,20,0.2,5,0.9,0.5,,
48,60,20,0.2,5,0.9,0.7,,
49,60,20,0.2,5,0.9,0.9,,
50,60,20,0.2,7,0.1,0.1,,
51,60,20,0.2,7,0.1,0.3,,
52,60,20,0.2,7,0.1,0.5,,
53,60,20,0.2,7,0.1,0.7,,
54,60,20,0.2,7,0.1,0.9,,
55,60,20,0.2,7,0.3,0.1,,
56,60,20,0.2,7,0.3,0.3,,
57,60,20,0.2,7,0.3,0.5,,
58,60,20,0.2,7,0.3,0.7,,
59,60,20,0.2,7,0.3,0.9,,
60,60,20,0.2,7,0.5,0.1,,
61,60,20,0.2,7,0.5,0.3,,
62,60,20,0.2,7,0.5,0.5,,
63,60,20,0.2,7,0.5,0.7,,
64,60,20,0.2,7,0.5,0.9,,
65,60,20,0.2,7,0.7,0.1,,
