total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
60,30,0.2,0.2,3,3,0.9611
60,30,0.2,0.2,3,5,0.9556
60,30,0.2,0.2,3,7,0.9722
60,30,0.2,0.2,5,3,0.9267
60,30,0.2,0.2,5,5,0.9733
60,30,0.2,0.2,5,7,0.9633
60,30,0.2,0.2,7,3,0.9405
60,30,0.2,0.2,7,5,0.9452
60,30,0.2,0.2,7,7,0.9667
60,30,0.2,0.2,9,3,0.9463
60,30,0.2,0.2,9,5,0.9852
60,30,0.2,0.2,9,7,0.9778
60,30,0.2,0.4,3,3,0.9389
60,30,0.2,0.4,3,5,0.9778
60,30,0.2,0.4,3,7,0.9667
60,30,0.2,0.4,5,3,0.9467
60,30,0.2,0.4,5,5,0.9467
60,30,0.2,0.4,5,7,0.9833
60,30,0.2,0.4,7,3,0.0
60,30,0.2,0.4,7,5,0.9714
60,30,0.2,0.4,7,7,0.9786
60,30,0.2,0.4,9,3,0.0
60,30,0.2,0.4,9,5,0.9704
60,30,0.2,0.4,9,7,0.9833
60,30,0.2,0.6,3,3,0.9222
60,30,0.2,0.6,3,5,0.9611
60,30,0.2,0.6,3,7,0.9611
60,30,0.2,0.6,5,3,0.9467
60,30,0.2,0.6,5,5,0.9767
60,30,0.2,0.6,5,7,0.96
60,30,0.2,0.6,7,3,0.0
60,30,0.2,0.6,7,5,0.9714
60,30,0.2,0.6,7,7,0.9595
60,30,0.2,0.6,9,3,0.0
60,30,0.2,0.6,9,5,0.9759
60,30,0.2,0.6,9,7,0.0
60,30,0.2,0.8,3,3,0.9333
60,30,0.2,0.8,3,5,0.9278
60,30,0.2,0.8,3,7,0.9278
60,30,0.2,0.8,5,3,0.95
60,30,0.2,0.8,5,5,0.94
60,30,0.2,0.8,5,7,0.9567
60,30,0.2,0.8,7,3,0.9429
60,30,0.2,0.8,7,5,0.9786
60,30,0.2,0.8,7,7,0.9548
60,30,0.2,0.8,9,3,0.9444
60,30,0.2,0.8,9,5,0.0
60,30,0.2,0.8,9,7,0.9593
60,30,0.4,0.2,3,3,0.9556
60,30,0.4,0.2,3,5,0.9889
60,30,0.4,0.2,3,7,0.9778
60,30,0.4,0.2,5,3,0.96
60,30,0.4,0.2,5,5,0.9533
60,30,0.4,0.2,5,7,0.9633
60,30,0.4,0.2,7,3,0.9429
60,30,0.4,0.2,7,5,0.9714
60,30,0.4,0.2,7,7,0.9357
60,30,0.4,0.2,9,3,0.963
60,30,0.4,0.2,9,5,0.9704
60,30,0.4,0.2,9,7,0.9796
60,30,0.4,0.4,3,3,0.9556
60,30,0.4,0.4,3,5,0.9611
60,30,0.4,0.4,3,7,0.9833
60,30,0.4,0.4,5,3,0.96
60,30,0.4,0.4,5,5,0.9533
60,30,0.4,0.4,5,7,0.94
60,30,0.4,0.4,7,3,0.9429
60,30,0.4,0.4,7,5,0.9714
60,30,0.4,0.4,7,7,0.9667
60,30,0.4,0.4,9,3,0.9667
60,30,0.4,0.4,9,5,0.9556
60,30,0.4,0.4,9,7,0.9667
60,30,0.4,0.6,3,3,0.9611
60,30,0.4,0.6,3,5,0.9833
60,30,0.4,0.6,3,7,0.9722
60,30,0.4,0.6,5,3,0.93
60,30,0.4,0.6,5,5,0.9333
60,30,0.4,0.6,5,7,0.98
60,30,0.4,0.6,7,3,0.95
60,30,0.4,0.6,7,5,0.9786
60,30,0.4,0.6,7,7,0.9738
60,30,0.4,0.6,9,3,0.9259
60,30,0.4,0.6,9,5,0.0
60,30,0.4,0.6,9,7,0.9741
60,30,0.4,0.8,3,3,0.9444
60,30,0.4,0.8,3,5,0.9278
60,30,0.4,0.8,3,7,0.9778
60,30,0.4,0.8,5,3,0.9333
60,30,0.4,0.8,5,5,0.96
60,30,0.4,0.8,5,7,0.97
60,30,0.4,0.8,7,3,0.0
60,30,0.4,0.8,7,5,0.969
60,30,0.4,0.8,7,7,0.9667
60,30,0.4,0.8,9,3,0.0
60,30,0.4,0.8,9,5,0.0
60,30,0.4,0.8,9,7,0.9648
60,30,0.6,0.2,3,3,0.9556
60,30,0.6,0.2,3,5,0.9389
60,30,0.6,0.2,3,7,0.9833
60,30,0.6,0.2,5,3,0.94
60,30,0.6,0.2,5,5,0.9467
60,30,0.6,0.2,5,7,0.9767
60,30,0.6,0.2,7,3,0.9357
60,30,0.6,0.2,7,5,0.9643
60,30,0.6,0.2,7,7,0.9571
60,30,0.6,0.2,9,3,0.9315
60,30,0.6,0.2,9,5,0.9778
60,30,0.6,0.2,9,7,0.9722
60,30,0.6,0.4,3,3,0.9333
60,30,0.6,0.4,3,5,0.9833
60,30,0.6,0.4,3,7,0.9556
60,30,0.6,0.4,5,3,0.93
60,30,0.6,0.4,5,5,0.95
60,30,0.6,0.4,5,7,0.96
60,30,0.6,0.4,7,3,0.9214
60,30,0.6,0.4,7,5,0.9571
60,30,0.6,0.4,7,7,0.9952
60,30,0.6,0.4,9,3,0.9333
